name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,874,30,true,true,true,4,4,10,41,6,0.00125422,2.8362e-09,0.000865313,6.54985e-08,26
dj_04_ind_mp3,815,30,false,true,true,8,8,10,36,4,0.00126673,5.76688e-09,0.0010409,5.41528e-08,54
dj_04_ind_ng0,1882,30,true,true,true,4,4,10,29,6,0.00115859,6.7695e-09,0.00081955,5.96901e-08,8
dj_04_ind_ng3,1811,30,true,true,true,4,4,10,35,6,0.00114544,3.19213e-09,0.000796822,4.78732e-08,11
dj_04_mp0_mp3,1317,30,false,true,true,8,8,41,36,48,0.00142044,1.18298e-08,0.00136636,7.59999e-08,276
dj_04_ng0_mp0,1588,30,true,true,true,4,4,29,41,56,0.00127096,6.16866e-09,0.00086685,5.85593e-08,26
dj_04_ng0_mp3,1523,30,false,true,true,8,8,29,36,48,0.00127592,4.12327e-09,0.00110971,4.60103e-08,55
dj_04_ng0_ng3,1882,30,true,true,true,4,4,29,35,46,0.00115838,4.18553e-09,0.000927838,5.48243e-08,14
dj_04_ng3_mp0,1631,30,true,true,true,4,4,35,41,46,0.00125706,2.75516e-10,0.000942448,7.24897e-08,30
dj_04_ng3_mp3,1541,30,false,true,true,8,8,35,36,64,0.00125795,1.18161e-09,0.00106595,6.24652e-08,55
dj_08_ind_mp0,1391,30,true,true,true,8,8,22,117,14,0.00134195,1.02767e-08,0.00185376,1.22026e-07,106
dj_08_ind_mp3,1082,30,false,true,true,16,16,22,84,4,0.00131633,7.6084e-09,0.00207964,1.25921e-07,936
dj_08_ind_ng0,1701,30,true,true,true,8,8,22,63,14,0.00115886,2.88477e-09,0.00116208,9.14996e-08,25
dj_08_ind_ng3,1182,30,true,true,true,8,8,22,61,8,0.00116297,4.09672e-09,0.0013475,9.58616e-08,30
dj_08_mp0_mp3,106,30,false,true,true,16,16,117,84,112,0.00154822,2.17143e-08,0.0463617,9.6951e-06,67784
dj_08_ng0_mp0,1075,30,true,true,true,8,8,63,117,124,0.00131404,5.67507e-10,0.00180741,9.9485e-08,106
dj_08_ng0_mp3,918,30,false,true,true,16,16,63,84,108,0.00129734,2.54464e-10,0.00210882,5.31306e-08,937
dj_08_ng0_ng3,1453,30,true,true,true,8,8,63,61,92,0.0011733,6.10923e-09,0.0013297,5.76237e-08,30
dj_08_ng3_mp0,989,30,true,true,true,8,8,61,117,92,0.00137252,1.64348e-08,0.00231638,1.82668e-07,134
dj_08_ng3_mp3,980,30,false,true,true,16,16,61,84,114,0.00130777,2.20253e-09,0.00220302,1.02087e-07,937
dj_16_ind_mp0,270,30,false,true,true,31,31,46,296,14,0.00148419,1.18142e-08,0.0126635,1.76211e-06,889
dj_16_ind_mp3,37,30,false,true,true,33,33,46,200,6,0.00143942,7.95249e-09,0.142196,8.9845e-05,230160
dj_16_ind_ng0,1159,30,true,true,true,16,16,46,125,8,0.00118412,3.95832e-09,0.00228193,1.20468e-07,61
dj_16_ind_ng3,920,30,true,true,true,16,16,46,131,6,0.00119077,4.86477e-09,0.0035115,1.93163e-07,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,96,30,false,true,true,31,31,125,296,240,0.00211317,2.1491e-06,0.0422594,9.77518e-06,973
dj_16_ng0_mp3,17,30,false,true,true,33,33,125,200,230,0.00167343,8.85665e-07,0.321554,0.000418579,230161
dj_16_ng0_ng3,343,30,true,true,true,16,16,125,131,192,0.00124533,1.03945e-07,0.00845109,3.17325e-06,62
dj_16_ng3_mp0,108,30,false,true,true,31,31,131,296,194,0.00227245,2.5151e-06,0.0491715,1.47077e-05,1062
dj_16_ng3_mp3,15,30,false,true,true,33,33,131,200,254,0.00192541,1.626e-06,0.324032,0.000204767,230161
portfolioqaoa_04_ind_mp0,309,30,false,true,true,4,4,34,189,0,0.00163013,1.01393e-06,0.0122016,2.88485e-06,170
portfolioqaoa_04_ind_mp3,366,30,false,true,true,8,8,34,143,0,0.00134887,2.31394e-08,0.00913789,3.60807e-06,1790
portfolioqaoa_04_ind_ng0,266,30,false,true,true,4,4,34,138,0,0.00137097,6.14287e-07,0.0135039,3.45924e-06,170
portfolioqaoa_04_ind_ng3,357,30,false,true,true,4,4,34,123,0,0.00130898,3.74237e-07,0.0116875,3.49897e-06,170
portfolioqaoa_04_mp0_mp3,60,30,false,true,true,8,8,189,143,250,0.00197956,1.20541e-06,0.0751231,3.40447e-05,27370
portfolioqaoa_04_ng0_mp0,281,30,false,true,true,4,4,138,189,234,0.0014854,3.00588e-07,0.0164644,4.60194e-06,170
portfolioqaoa_04_ng0_mp3,242,30,false,true,true,8,8,138,143,236,0.00153731,5.48473e-07,0.0147722,4.02443e-06,1790
portfolioqaoa_04_ng0_ng3,284,30,false,true,true,4,4,138,123,246,0.00124514,1.73763e-07,0.0143125,3.4279e-06,170
portfolioqaoa_04_ng3_mp0,269,30,false,true,true,4,4,123,189,214,0.0015918,7.66563e-07,0.0157955,9.34487e-06,170
portfolioqaoa_04_ng3_mp3,333,30,false,true,true,8,8,123,143,226,0.00136931,5.98995e-09,0.0137992,2.98879e-06,1790
portfolioqaoa_08_ind_mp0,3,30,false,true,true,8,8,116,693,0,0.00169039,1.03839e-09,12.148,0.395253,0
portfolioqaoa_08_ind_mp3,1,30,false,true,false,8,127,134,666,0,30,0,30,0,0
portfolioqaoa_08_ind_ng0,3,30,false,true,true,8,8,116,420,0,0.00391928,1.4125e-05,20.6555,0.179131,0
portfolioqaoa_08_ind_ng3,3,30,false,true,true,8,8,116,393,0,0.00125677,3.45033e-10,14.3434,0.00389564,0
portfolioqaoa_08_mp0_mp3,1,30,false,true,false,127,127,711,666,0,30,0,30,0,0
portfolioqaoa_08_ng0_mp0,3,30,false,true,true,8,8,420,693,0,0.00174402,1.98408e-09,19.5747,0.0210015,0
portfolioqaoa_08_ng0_mp3,3,30,false,true,true,16,16,420,648,0,0.00167213,2.7504e-09,13.5339,0.00608142,0
portfolioqaoa_08_ng0_ng3,3,30,false,true,true,8,8,420,393,0,0.00126935,2.07071e-09,17.6543,0.0226636,0
portfolioqaoa_08_ng3_mp0,3,30,false,true,true,8,8,393,693,0,0.00168427,2.16935e-09,23.564,0.140291,0
portfolioqaoa_08_ng3_mp3,3,30,false,true,true,16,16,393,648,0,0.0016695,3.28657e-09,12.6527,0.00348448,0
portfolioqaoa_16_ind_mp0,1,30,false,true,false,16,127,458,3505,0,30,0,30,0,0
portfolioqaoa_16_ind_mp3,1,30,false,true,false,16,127,458,2880,0,30,0,30,0,0
portfolioqaoa_16_ind_ng0,1,30,false,true,false,16,16,458,1450,0,30,0,30,0,0
portfolioqaoa_16_ind_ng3,1,30,false,true,false,16,16,458,1399,0,30,0,30,0,0
portfolioqaoa_16_mp0_mp3,1,30,false,true,false,127,127,3505,2880,0,30,0,30,0,0
portfolioqaoa_16_ng0_mp0,1,30,false,true,false,16,127,1450,3505,0,30,0,30,0,0
portfolioqaoa_16_ng0_mp3,1,30,false,true,false,16,127,1450,2880,0,30,0,30,0,0
portfolioqaoa_16_ng0_ng3,1,30,false,true,false,16,16,1450,1399,0,30,0,30,0,0
portfolioqaoa_16_ng3_mp0,1,30,false,true,false,16,127,1399,3505,0,30,0,30,0,0
portfolioqaoa_16_ng3_mp3,1,30,false,true,false,16,127,1399,2880,0,30,0,30,0,0
portfoliovqe_04_ind_mp0,30,30,false,true,true,4,4,34,257,0,0.00273274,5.15877e-05,0.117599,9.38747e-05,170
portfoliovqe_04_ind_mp3,68,30,false,true,true,8,8,34,126,0,0.00180912,1.48813e-05,0.0737067,3.50068e-05,1790
portfoliovqe_04_ind_ng0,43,30,false,true,true,4,4,34,206,0,0.00117948,1.26214e-10,0.118907,2.19906e-05,170
portfoliovqe_04_ind_ng3,67,30,false,true,true,4,4,34,90,0,0.0110582,0.000272215,0.086768,0.000276247,170
portfoliovqe_04_mp0_mp3,8,30,false,true,true,8,8,257,126,248,0.00159603,1.18544e-10,0.521509,0.000278511,27370
portfoliovqe_04_ng0_mp0,28,30,false,true,true,4,4,206,257,380,0.0014154,1.27406e-10,0.177867,2.38644e-05,170
portfoliovqe_04_ng0_mp3,41,30,false,true,true,8,8,206,126,214,0.00223249,3.08562e-05,0.124512,8.14924e-05,1790
portfoliovqe_04_ng0_ng3,41,30,false,true,true,4,4,206,90,180,0.00118548,8.1883e-11,0.123587,4.02767e-05,170
portfoliovqe_04_ng3_mp0,32,30,false,true,true,4,4,90,257,180,0.0142507,0.000322536,0.143305,0.000326717,170
portfoliovqe_04_ng3_mp3,48,30,false,true,true,8,8,90,126,172,0.00133769,6.72606e-11,0.100797,2.0322e-05,1790
portfoliovqe_08_ind_mp0,1,30,false,true,false,8,127,125,1030,0,30,0,30,0,0
portfoliovqe_08_ind_mp3,1,30,false,true,false,8,127,125,691,0,30,0,30,0,0
portfoliovqe_08_ind_ng0,3,30,false,true,true,8,8,116,748,0,0.00127668,2.11356e-09,13.0201,0.0749065,0
portfoliovqe_08_ind_ng3,1,30,false,true,false,8,8,125,251,0,30,0,30,0,0
