name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,602,30,true,true,true,4,4,10,41,0,0.000593912,4.70162e-10,0.000854945,1.44956e-07,26
dj_04_ind_mp3,579,30,false,true,true,7,7,10,36,0,0.00063314,8.4485e-10,0.000989529,8.9046e-08,51
dj_04_ind_ng0,2934,30,true,true,true,4,4,10,29,0,0.000470299,3.86424e-10,0.000680821,1.45535e-09,8
dj_04_ind_ng3,2861,30,true,true,true,4,4,10,35,0,0.000471231,2.77767e-10,0.00072828,1.57317e-09,11
dj_04_mp0_mp3,2020,30,false,true,true,7,7,41,36,0,0.000750915,3.12615e-10,0.00117213,2.0436e-09,57
dj_04_ng0_mp0,2486,30,true,true,true,4,4,29,41,0,0.000596246,3.46459e-10,0.00084984,1.79587e-09,26
dj_04_ng0_mp3,2333,30,false,true,true,7,7,29,36,0,0.000635979,4.05452e-10,0.00103674,1.78621e-09,51
dj_04_ng0_ng3,2804,30,true,true,true,4,4,29,35,0,0.000472541,4.58933e-10,0.000775649,3.45398e-09,14
dj_04_ng3_mp0,2433,30,true,true,true,4,4,35,41,0,0.000598484,3.49532e-10,0.000933717,1.64306e-09,30
dj_04_ng3_mp3,2320,30,false,true,true,7,7,35,36,0,0.000635453,3.31221e-10,0.00106151,1.6541e-09,51
dj_08_ind_mp0,1478,30,true,true,true,8,8,22,117,0,0.000667585,2.82556e-10,0.00206201,3.15078e-09,106
dj_08_ind_mp3,1001,30,false,true,true,15,15,22,84,0,0.00068806,6.45458e-10,0.00224451,1.02283e-08,937
dj_08_ind_ng0,2431,30,true,true,true,8,8,22,63,0,0.000488688,2.70878e-10,0.00114221,1.70048e-09,25
dj_08_ind_ng3,2080,30,true,true,true,8,8,22,61,0,0.000488463,2.5619e-10,0.0014733,1.76464e-09,30
dj_08_mp0_mp3,820,30,false,true,true,15,15,117,84,0,0.00086192,5.20677e-10,0.00375558,6.37844e-09,983
dj_08_ng0_mp0,1554,30,true,true,true,8,8,63,117,0,0.000673612,3.5636e-10,0.00207053,2.08677e-09,106
dj_08_ng0_mp3,1449,30,false,true,true,15,15,63,84,0,0.000695897,3.115e-10,0.00251601,2.86886e-09,937
dj_08_ng0_ng3,1994,30,true,true,true,8,8,63,61,0,0.000494432,2.51738e-10,0.00148252,1.95937e-09,30
dj_08_ng3_mp0,1302,30,true,true,true,8,8,61,117,0,0.000674972,2.46434e-10,0.00269622,3.35564e-09,134
dj_08_ng3_mp3,1382,30,false,true,true,15,15,61,84,0,0.000693562,2.97565e-10,0.00267772,3.16894e-09,937
dj_16_ind_mp0,194,30,false,true,true,31,31,46,296,0,0.000869982,4.87734e-10,0.0176591,4.3167e-07,889
dj_16_ind_mp3,26,30,false,true,true,32,32,46,200,0,0.000833085,4.56808e-10,0.191533,4.78874e-06,242448
