name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,360,30,true,true,true,4,4,10,41,0,0.000587344,1.2022e-09,0.000981489,8.87457e-07,26
dj_04_ind_mp3,574,30,false,true,true,7,7,10,36,0,0.000635179,1.44284e-09,0.00108588,9.92369e-08,51
dj_04_ind_ng0,2889,30,true,true,true,4,4,10,29,0,0.000462099,1.363e-10,0.000754638,2.32129e-09,8
dj_04_ind_ng3,2922,30,true,true,true,4,4,10,35,0,0.000465683,1.80871e-10,0.000796724,5.99765e-09,11
dj_04_mp0_mp3,2031,30,false,true,true,7,7,41,36,0,0.000748429,3.11914e-10,0.00124079,3.72193e-09,57
dj_04_ng0_mp0,2556,30,true,true,true,4,4,29,41,0,0.00059416,2.56866e-10,0.0009223,3.83891e-09,26
dj_04_ng0_mp3,2278,30,false,true,true,7,7,29,36,0,0.000633981,2.7936e-10,0.00111017,5.12954e-09,51
dj_04_ng0_ng3,2743,30,true,true,true,4,4,29,35,0,0.000466559,1.59223e-10,0.00084123,3.94707e-09,14
dj_04_ng3_mp0,1625,30,true,true,true,4,4,35,41,0,0.00059419,2.18432e-10,0.00101105,3.35722e-09,30
dj_04_ng3_mp3,2102,30,false,true,true,7,7,35,36,0,0.000636991,4.9563e-10,0.00116844,8.29587e-09,51
dj_08_ind_mp0,1350,30,true,true,true,8,8,22,117,0,0.000666329,4.59042e-10,0.00215144,7.60227e-09,106
dj_08_ind_mp3,1008,30,false,true,true,15,15,22,84,0,0.000677228,2.16188e-10,0.00235896,1.20574e-08,937
dj_08_ind_ng0,1734,30,true,true,true,8,8,22,63,0,0.000484118,2.64276e-10,0.00120771,4.56734e-09,25
dj_08_ind_ng3,1980,30,true,true,true,8,8,22,61,0,0.000486176,1.73283e-10,0.00154085,5.13016e-09,30
dj_08_mp0_mp3,797,30,false,true,true,15,15,117,84,0,0.000842827,3.53714e-10,0.00383958,1.01649e-08,983
dj_08_ng0_mp0,1576,30,true,true,true,8,8,63,117,0,0.00067179,5.44305e-10,0.0021582,8.98183e-09,106
dj_08_ng0_mp3,1216,30,false,true,true,15,15,63,84,0,0.000687775,3.26677e-10,0.00261795,6.1498e-09,937
dj_08_ng0_ng3,1968,30,true,true,true,8,8,63,61,0,0.000492039,1.64973e-10,0.00155574,3.55964e-09,30
dj_08_ng3_mp0,1279,30,true,true,true,8,8,61,117,0,0.000677186,1.00684e-09,0.00281929,3.42278e-08,134
dj_08_ng3_mp3,944,30,false,true,true,15,15,61,84,0,0.000683073,3.27725e-10,0.0027624,6.50047e-09,937
dj_16_ind_mp0,157,30,false,true,true,31,31,46,296,0,0.000865942,4.7114e-09,0.0180477,1.43871e-06,889
dj_16_ind_mp3,25,30,false,true,true,32,32,46,200,0,0.000875871,1.90116e-08,0.192527,1.17149e-06,242448
dj_16_ind_ng0,807,30,true,true,true,16,16,46,125,0,0.000536322,3.91882e-10,0.00307248,1.45559e-07,61
