name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,614,30,true,true,true,4,4,10,41,6,0.000630757,2.05438e-09,0.000918989,1.43351e-07,26
dj_04_ind_mp3,575,30,false,true,true,7,7,10,36,4,0.000671749,1.44175e-09,0.00104649,9.1073e-08,51
dj_04_ind_ng0,2791,30,true,true,true,4,4,10,29,6,0.000510274,1.37259e-09,0.000710181,3.63147e-09,8
dj_04_ind_ng3,2794,30,true,true,true,4,4,10,35,6,0.000511567,1.23692e-09,0.00076009,2.99253e-09,11
dj_04_mp0_mp3,1950,30,false,true,true,7,7,41,36,48,0.000783996,1.15535e-09,0.00122049,3.91756e-09,57
dj_04_ng0_mp0,2475,30,true,true,true,4,4,29,41,56,0.000619158,1.05182e-09,0.000887234,3.5891e-09,26
dj_04_ng0_mp3,2244,30,false,true,true,7,7,29,36,48,0.000660307,1.3245e-09,0.00108853,4.79548e-09,51
dj_04_ng0_ng3,2658,30,true,true,true,4,4,29,35,46,0.000508004,1.34028e-09,0.000806436,3.4966e-09,14
dj_04_ng3_mp0,993,30,true,true,true,4,4,35,41,46,0.000635033,1.2542e-09,0.000982958,1.52107e-08,30
dj_04_ng3_mp3,2202,30,false,true,true,7,7,35,36,64,0.000668948,1.2923e-09,0.00112419,5.46102e-09,51
dj_08_ind_mp0,1537,30,true,true,true,8,8,22,117,14,0.000690532,8.28465e-10,0.00210126,7.02974e-09,106
dj_08_ind_mp3,1474,30,false,true,true,15,15,22,84,4,0.000717109,1.43438e-09,0.00241668,8.36096e-09,937
dj_08_ind_ng0,2337,30,true,true,true,8,8,22,63,14,0.000515423,1.06088e-09,0.00119451,5.19006e-09,26
dj_08_ind_ng3,1894,30,true,true,true,8,8,22,61,8,0.000524293,1.30445e-09,0.00155552,6.87812e-09,30
dj_08_mp0_mp3,974,30,false,true,true,15,15,117,84,112,0.000886762,9.7452e-10,0.00395393,8.43151e-09,983
dj_08_ng0_mp0,1534,30,true,true,true,8,8,63,117,124,0.000696042,1.04421e-09,0.00216439,5.83888e-09,106
dj_08_ng0_mp3,1369,30,false,true,true,15,15,63,84,108,0.000714464,6.07624e-10,0.00269437,8.27419e-09,937
dj_08_ng0_ng3,1942,30,true,true,true,8,8,63,61,92,0.000509325,6.85942e-10,0.00155602,6.53574e-09,30
dj_08_ng3_mp0,1272,30,true,true,true,8,8,61,117,92,0.000701099,9.86142e-10,0.00283649,6.00047e-09,134
dj_08_ng3_mp3,1308,30,false,true,true,15,15,61,84,114,0.000717294,6.50441e-10,0.00288129,5.57571e-09,937
dj_16_ind_mp0,185,30,false,true,true,31,31,46,296,14,0.00091511,5.24432e-10,0.0185785,5.00103e-07,889
dj_16_ind_mp3,26,30,false,true,true,32,32,46,200,6,0.000868825,5.96163e-10,0.193324,4.19128e-06,242448
dj_16_ind_ng0,1271,30,true,true,true,16,16,46,125,8,0.000564882,3.30752e-10,0.00315358,1.96631e-08,62
dj_16_ind_ng3,842,30,true,true,true,16,16,46,131,6,0.000576438,4.55045e-10,0.00509354,1.94731e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,71,30,false,true,true,31,31,125,296,240,0.00119751,1.05842e-06,0.0719636,4.31705e-06,974
dj_16_ng0_mp3,11,30,false,true,true,32,32,125,200,230,0.00152195,1.89879e-06,0.450076,5.18618e-05,242449
dj_16_ng0_ng3,291,30,true,true,true,16,16,125,131,192,0.000602806,8.79076e-10,0.00971358,3.24756e-06,62
dj_16_ng3_mp0,75,30,false,true,true,31,31,131,296,194,0.00123988,1.18772e-06,0.0838703,1.43382e-05,1062
dj_16_ng3_mp3,10,30,false,true,true,32,32,131,200,254,0.000878798,1.65132e-09,0.465284,2.74944e-05,242449
portfolioqaoa_04_ind_mp0,266,30,false,true,true,4,4,34,189,0,0.000811109,7.77527e-10,0.016653,2.60063e-06,170
portfolioqaoa_04_ind_mp3,324,30,false,true,true,8,8,34,143,0,0.000802112,5.1493e-08,0.0118493,3.0018e-06,1790
portfolioqaoa_04_ind_ng0,280,30,false,true,true,4,4,34,138,0,0.000585425,6.99118e-10,0.0184841,3.59417e-06,170
portfolioqaoa_04_ind_ng3,316,30,false,true,true,4,4,34,123,0,0.000572497,7.21123e-10,0.0143339,1.16261e-06,170
portfolioqaoa_04_mp0_mp3,217,30,false,true,true,8,8,189,143,250,0.00100786,8.47293e-10,0.022143,1.2092e-06,1790
portfolioqaoa_04_ng0_mp0,224,30,false,true,true,4,4,138,189,234,0.000814115,6.35914e-10,0.0210071,2.19565e-06,170
portfolioqaoa_04_ng0_mp3,276,30,false,true,true,8,8,138,143,236,0.000810366,8.77829e-10,0.0192323,4.17509e-06,1790
portfolioqaoa_04_ng0_ng3,285,30,false,true,true,4,4,138,123,246,0.000598207,4.04961e-10,0.0180502,3.22348e-06,170
portfolioqaoa_04_ng3_mp0,198,30,false,true,true,4,4,123,189,214,0.00081735,7.81463e-10,0.0208984,2.41652e-06,170
portfolioqaoa_04_ng3_mp3,274,30,false,true,true,8,8,123,143,226,0.000807982,7.87614e-10,0.0187413,3.66651e-06,1790
portfolioqaoa_08_ind_mp0,3,30,false,true,true,8,8,116,693,0,0.00118511,1.15537e-08,10.3552,0.00994527,0
portfolioqaoa_08_ind_mp3,1,30,false,true,false,8,127,134,666,0,30,0,30,0,0
portfolioqaoa_08_ind_ng0,1,30,false,true,false,8,8,134,438,0,30,0,30,0,0
portfolioqaoa_08_ind_ng3,3,30,false,true,true,8,8,116,393,0,0.000719744,6.08603e-09,17.2216,6.71809,0
