name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,618,30,true,true,true,4,4,10,41,6,0.00058451,5.9137e-10,0.000888105,2.88774e-07,26
dj_04_ind_mp3,589,30,false,true,true,7,7,10,36,4,0.000624209,8.60402e-10,0.00100525,1.17501e-07,51
dj_04_ind_ng0,3004,30,true,true,true,4,4,10,29,6,0.000460257,2.74055e-10,0.000677577,7.74892e-09,8
dj_04_ind_ng3,2952,30,true,true,true,4,4,10,35,6,0.000460442,1.67774e-10,0.000697422,2.30705e-09,11
dj_04_mp0_mp3,2174,30,false,true,true,7,7,41,36,48,0.000741586,6.46341e-10,0.00113231,5.83003e-09,57
dj_04_ng0_mp0,2539,30,true,true,true,4,4,29,41,56,0.00058743,3.3296e-10,0.000815223,2.16408e-09,26
dj_04_ng0_mp3,2421,30,false,true,true,7,7,29,36,48,0.000627389,3.001e-10,0.000998556,3.71917e-09,51
dj_04_ng0_ng3,2896,30,true,true,true,4,4,29,35,46,0.00046447,1.31908e-10,0.000752774,2.67774e-09,14
dj_04_ng3_mp0,2520,30,true,true,true,4,4,35,41,46,0.000592458,3.38412e-10,0.000912536,3.33052e-09,30
dj_04_ng3_mp3,2309,30,false,true,true,7,7,35,36,64,0.000627038,2.70046e-10,0.00104004,4.28573e-09,51
dj_08_ind_mp0,1513,30,true,true,true,8,8,22,117,14,0.000656105,3.30728e-10,0.002036,5.4879e-09,106
dj_08_ind_mp3,1021,30,false,true,true,15,15,22,84,4,0.000672222,3.25568e-10,0.0022562,1.12531e-08,937
dj_08_ind_ng0,2396,30,true,true,true,8,8,22,63,14,0.000481389,4.40861e-10,0.00111538,4.7038e-09,26
dj_08_ind_ng3,2112,30,true,true,true,8,8,22,61,8,0.000480777,2.27187e-10,0.00142671,4.68355e-09,30
dj_08_mp0_mp3,824,30,false,true,true,15,15,117,84,112,0.000831388,3.47187e-10,0.00376107,1.17701e-08,983
dj_08_ng0_mp0,949,30,true,true,true,8,8,63,117,124,0.000662995,9.84435e-10,0.00199919,2.38203e-08,106
dj_08_ng0_mp3,911,30,false,true,true,15,15,63,84,108,0.000678328,5.17901e-10,0.00253728,1.03968e-08,937
dj_08_ng0_ng3,2041,30,true,true,true,8,8,63,61,92,0.000486399,3.50426e-10,0.0015113,6.77163e-09,30
dj_08_ng3_mp0,1313,30,true,true,true,8,8,61,117,92,0.000662572,5.14657e-10,0.00268399,1.01269e-08,134
dj_08_ng3_mp3,859,30,false,true,true,15,15,61,84,114,0.000677114,3.68736e-10,0.00267468,9.68805e-09,937
dj_16_ind_mp0,162,30,false,true,true,31,31,46,296,14,0.00084518,2.20965e-09,0.0178579,1.06888e-06,889
dj_16_ind_mp3,25,30,false,true,true,32,32,46,200,6,0.000867771,1.93505e-08,0.192098,9.22388e-06,242449
dj_16_ind_ng0,259,30,true,true,true,16,16,46,125,8,0.000533122,8.18088e-10,0.0030737,1.36176e-06,62
dj_16_ind_ng3,837,30,true,true,true,16,16,46,131,6,0.00053723,4.76639e-10,0.00487613,7.50391e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,124,30,false,true,true,31,31,125,296,240,0.000887185,9.76524e-09,0.018393,5.31152e-06,973
dj_16_ng0_mp3,22,30,false,true,true,32,32,125,200,230,0.000876779,2.51182e-08,0.220856,3.55636e-06,242449
dj_16_ng0_ng3,553,30,true,true,true,16,16,125,131,192,0.000563764,4.54133e-10,0.00431022,1.317e-07,62
dj_16_ng3_mp0,157,30,false,true,true,31,31,131,296,194,0.000872828,3.89281e-09,0.0401042,8.91767e-07,1062
dj_16_ng3_mp3,22,30,false,true,true,32,32,131,200,254,0.000870663,1.81232e-08,0.227423,1.1074e-05,242449
portfolioqaoa_04_ind_mp0,456,30,false,true,true,4,4,34,189,0,0.000764211,5.22905e-10,0.00780407,8.17952e-08,170
portfolioqaoa_04_ind_mp3,697,30,false,true,true,8,8,34,143,0,0.000742265,6.20237e-10,0.0055316,3.17768e-08,1790
portfolioqaoa_04_ind_ng0,548,30,false,true,true,4,4,34,138,0,0.000540623,5.71244e-10,0.00836382,1.6051e-07,170
portfolioqaoa_04_ind_ng3,393,30,false,true,true,4,4,34,123,0,0.000533277,3.39315e-10,0.00688952,1.10763e-07,170
portfolioqaoa_04_mp0_mp3,426,30,false,true,true,8,8,189,143,250,0.000971539,2.14294e-09,0.010496,1.81817e-07,1790
portfolioqaoa_04_ng0_mp0,427,30,false,true,true,4,4,138,189,234,0.000781518,1.66551e-09,0.0103177,1.97062e-07,170
portfolioqaoa_04_ng0_mp3,495,30,false,true,true,8,8,138,143,236,0.000762339,1.67102e-09,0.00929093,1.75563e-07,1790
portfolioqaoa_04_ng0_ng3,526,30,false,true,true,4,4,138,123,246,0.000554831,5.31273e-10,0.00876093,7.6162e-08,170
portfolioqaoa_04_ng3_mp0,444,30,false,true,true,4,4,123,189,214,0.000771278,5.34152e-10,0.0100336,3.89964e-08,170
portfolioqaoa_04_ng3_mp3,508,30,false,true,true,8,8,123,143,226,0.000768052,1.10414e-09,0.00903479,9.73221e-08,1790
portfolioqaoa_08_ind_mp0,3,30,false,true,true,8,8,116,693,0,0.00143679,2.64397e-07,10.0431,0.0948069,14563
portfolioqaoa_08_ind_mp3,1,30,false,true,false,8,127,134,666,0,30,0,30,0,0
portfolioqaoa_08_ind_ng0,3,30,false,true,true,8,8,116,420,0,0.000780318,3.8535e-08,10.8436,0.663889,0
portfolioqaoa_08_ind_ng3,3,30,false,true,true,8,8,116,393,0,0.000718551,4.03376e-08,6.69054,0.0739515,43690
portfolioqaoa_08_mp0_mp3,1,30,false,true,false,127,127,711,666,0,30,0,30,0,0
portfolioqaoa_08_ng0_mp0,3,30,false,true,true,8,8,420,693,0,0.00184382,2.04174e-07,10.4888,0.0985063,0
portfolioqaoa_08_ng0_mp3,1,30,false,true,false,8,127,438,666,0,30,0,30,0,0
portfolioqaoa_08_ng0_ng3,3,30,false,true,true,8,8,420,393,786,0.000846261,3.182e-08,9.37838,0.102821,43690
portfolioqaoa_08_ng3_mp0,3,30,false,false,true,8,8,393,693,0,0.00149014,2.92652e-07,10.3833,0.554578,14563
portfolioqaoa_08_ng3_mp3,1,30,false,true,false,8,127,411,666,0,30,0,30,0,0
portfolioqaoa_16_ind_mp0,1,30,false,true,false,16,127,458,3505,0,30,0,30,0,0
portfolioqaoa_16_ind_mp3,1,30,false,true,false,16,127,458,2880,0,30,0,30,0,0
portfolioqaoa_16_ind_ng0,1,30,false,true,false,16,16,458,1450,0,30,0,30,0,0
portfolioqaoa_16_ind_ng3,1,30,false,true,false,16,16,458,1399,0,30,0,30,0,0
portfolioqaoa_16_mp0_mp3,1,30,false,true,false,127,127,3505,2880,0,30,0,30,0,0
portfolioqaoa_16_ng0_mp0,1,30,false,true,false,16,127,1450,3505,0,30,0,30,0,0
portfolioqaoa_16_ng0_mp3,1,30,false,true,false,16,127,1450,2880,0,30,0,30,0,0
portfolioqaoa_16_ng0_ng3,1,30,false,true,false,16,16,1450,1399,0,30,0,30,0,0
portfolioqaoa_16_ng3_mp0,1,30,false,true,false,16,127,1399,3505,0,30,0,30,0,0
portfolioqaoa_16_ng3_mp3,1,30,false,true,false,16,127,1399,2880,0,30,0,30,0,0
portfoliovqe_04_ind_mp0,217,30,false,true,true,4,4,34,257,0,0.000798473,6.21374e-09,0.00949384,1.20123e-06,170
portfoliovqe_04_ind_mp3,815,30,false,true,true,8,8,34,126,0,0.000723732,8.51151e-10,0.00483448,6.88263e-08,1790
portfoliovqe_04_ind_ng0,487,30,false,true,true,4,4,34,206,0,0.000544238,7.39564e-10,0.00960648,7.43883e-07,170
portfoliovqe_04_ind_ng3,703,30,false,true,true,4,4,34,90,0,0.000512477,4.39074e-10,0.00580272,1.14183e-07,170
portfoliovqe_04_mp0_mp3,193,30,false,true,true,8,8,257,126,248,0.000996248,6.54435e-09,0.0120617,1.09028e-06,1790
portfoliovqe_04_ng0_mp0,254,30,false,true,true,4,4,206,257,380,0.000819657,3.94663e-09,0.0143974,6.47814e-07,170
portfoliovqe_04_ng0_mp3,460,30,false,true,true,8,8,206,126,214,0.000754735,1.45958e-09,0.00998337,2.024e-07,1790
portfoliovqe_04_ng0_ng3,328,30,false,true,true,4,4,206,90,180,0.000549091,9.35301e-10,0.00959716,3.85343e-07,170
portfoliovqe_04_ng3_mp0,377,30,false,true,true,4,4,90,257,180,0.00080323,1.76035e-09,0.0124043,3.13587e-07,170
portfoliovqe_04_ng3_mp3,606,30,false,true,true,8,8,90,126,172,0.000732432,1.61326e-09,0.00737124,1.94339e-07,1790
portfoliovqe_08_ind_mp0,3,30,false,true,true,8,8,116,1021,0,0.00181313,4.68971e-07,10.3616,0.00124277,0
portfoliovqe_08_ind_mp3,1,30,false,true,false,8,127,125,691,0,30,0,30,0,0
portfoliovqe_08_ind_ng0,3,30,false,true,true,8,8,116,748,0,0.000958294,5.50647e-08,12.8756,0.0179489,0
portfoliovqe_08_ind_ng3,3,30,false,true,true,8,8,116,242,0,0.000764304,8.75255e-08,5.41184,0.00798342,43690
portfoliovqe_08_mp0_mp3,1,30,false,true,false,127,127,1030,691,0,30,0,30,0,0
portfoliovqe_08_ng0_mp0,3,30,false,true,true,8,8,748,1021,0,0.00179429,4.15417e-07,14.4125,0.322445,0
portfoliovqe_08_ng0_mp3,1,30,false,true,false,8,127,757,691,0,30,0,30,0,0
portfoliovqe_08_ng0_ng3,3,30,false,false,true,8,8,748,242,484,0.000823976,3.58288e-08,10.165,0.0699434,29126
portfoliovqe_08_ng3_mp0,3,30,false,true,true,8,8,242,1021,0,0.00137741,2.95071e-08,15.0029,0.00746124,0
portfoliovqe_08_ng3_mp3,1,30,false,true,false,8,127,251,691,0,30,0,30,0,0
portfoliovqe_16_ind_mp0,1,30,false,true,false,16,127,441,4972,0,30,0,30,0,0
portfoliovqe_16_ind_mp3,1,30,false,true,false,16,127,441,3330,0,30,0,30,0,0
portfoliovqe_16_ind_ng0,1,30,false,true,false,16,16,441,2857,0,30,0,30,0,0
portfoliovqe_16_ind_ng3,1,30,false,true,false,16,16,441,708,0,30,0,30,0,0
portfoliovqe_16_mp0_mp3,1,30,false,true,false,127,127,4972,3330,0,30,0,30,0,0
portfoliovqe_16_ng0_mp0,1,30,false,true,false,16,127,2857,4972,0,30,0,30,0,0
portfoliovqe_16_ng0_mp3,1,30,false,true,false,16,127,2857,3330,0,30,0,30,0,0
portfoliovqe_16_ng0_ng3,1,30,false,true,false,16,16,2857,708,0,30,0,30,0,0
portfoliovqe_16_ng3_mp0,1,30,false,true,false,16,127,708,4972,0,30,0,30,0,0
portfoliovqe_16_ng3_mp3,1,30,false,true,false,16,127,708,3330,0,30,0,30,0,0
qft_04_ind_mp0,427,30,true,true,true,4,4,12,63,0,0.000653159,1.33137e-09,0.00157704,2.72549e-07,50
qft_04_ind_mp3,806,30,false,true,true,8,8,12,40,0,0.000664373,3.44881e-09,0.00200984,4.61362e-08,207
qft_04_ind_ng0,1754,30,true,true,true,4,4,12,48,0,0.000494061,9.7683e-10,0.00131037,1.82419e-08,43
qft_04_ind_ng3,2629,30,true,true,true,4,4,12,33,0,0.000488758,8.72402e-10,0.00122816,5.2504e-09,34
qft_04_mp0_mp3,777,30,false,true,true,8,8,63,40,74,0.000805501,3.719e-09,0.00262883,4.09633e-08,224
qft_04_ng0_mp0,2022,30,true,true,true,4,4,48,63,90,0.000656834,9.66887e-10,0.00157471,6.54542e-09,34
qft_04_ng0_mp3,1055,30,false,true,true,8,8,48,40,64,0.000661757,1.58092e-09,0.00224124,3.21457e-08,256
qft_04_ng0_ng3,1398,30,true,true,true,4,4,48,33,66,0.000492654,7.95626e-10,0.00121393,1.31814e-08,31
qft_04_ng3_mp0,1138,30,true,true,true,4,4,33,63,62,0.000655206,1.33024e-09,0.00153148,1.50766e-08,26
qft_04_ng3_mp3,1086,30,false,true,true,8,8,33,40,62,0.000663481,1.50897e-09,0.00209318,1.55689e-08,208
qft_08_ind_mp0,218,30,true,true,true,8,8,40,326,0,0.000889883,3.02146e-09,0.0187062,7.29887e-07,1834
qft_08_ind_mp3,29,30,false,true,true,16,16,40,259,0,0.000912183,1.66782e-08,0.135271,7.50978e-05,33664
qft_08_ind_ng0,726,30,true,true,true,8,8,40,176,0,0.00055807,5.62218e-10,0.00650815,8.03692e-08,891
qft_08_ind_ng3,837,30,true,true,true,8,8,40,129,0,0.00053304,3.67579e-10,0.00471479,3.19937e-08,906
qft_08_mp0_mp3,24,30,false,true,true,16,16,326,259,384,0.00127441,7.62456e-08,0.198203,6.12488e-06,34432
qft_08_ng0_mp0,251,30,true,true,true,8,8,176,326,330,0.000895359,9.67574e-10,0.0205799,1.27773e-07,850
qft_08_ng0_mp3,19,30,false,true,true,16,16,176,259,330,0.000937753,3.01929e-08,0.201144,0.000136767,49792
qft_08_ng0_ng3,1194,30,true,true,true,8,8,176,129,258,0.000559302,6.73423e-10,0.00258959,1.48753e-08,531
qft_08_ng3_mp0,231,30,true,true,true,8,8,129,326,246,0.00089979,1.01285e-08,0.017506,3.57759e-06,850
qft_08_ng3_mp3,37,30,false,true,true,16,16,129,259,258,0.000917399,1.69459e-08,0.128521,4.05912e-05,33664
qft_16_ind_mp0,3,30,false,true,true,31,31,144,1788,0,0.00247148,2.01537e-07,21.5354,0.382018,0
qft_16_ind_mp3,1,30,false,true,false,16,127,161,1128,0,30,0,30,0,0
qft_16_ind_ng0,3,30,true,true,true,16,16,144,672,0,0.0011621,6.80906e-08,5.62456,1.60411,261803
qft_16_ind_ng3,3,30,true,true,true,16,16,144,513,0,0.00104022,8.13676e-08,4.85894,0.367835,265898
qft_16_mp0_mp3,1,30,false,true,false,127,127,1805,1128,0,30,0,30,0,0
qft_16_ng0_mp0,3,30,false,true,true,31,31,672,1788,0,0.00302666,1.47757e-06,18.3011,3.22956,0
qft_16_ng0_mp3,1,30,false,true,false,16,127,689,1128,0,30,0,30,0,0
qft_16_ng0_ng3,15,30,true,true,true,16,16,672,513,1026,0.000907778,1.16855e-07,0.304614,1.07177e-05,136531
qft_16_ng3_mp0,3,30,false,true,true,31,31,513,1788,0,0.00240915,1.65699e-07,22.4927,0.0734242,0
qft_16_ng3_mp3,1,30,false,true,false,16,127,530,1128,0,30,0,30,0,0
qnn_04_ind_mp0,348,30,true,true,true,4,4,55,150,38,0.000744135,1.10844e-09,0.00469001,3.47166e-07,106
qnn_04_ind_mp3,424,30,false,true,true,8,8,55,114,26,0.000729516,1.59338e-09,0.00666098,2.20544e-07,1790
qnn_04_ind_ng0,1199,30,true,true,true,4,4,55,111,24,0.000515204,1.02885e-09,0.00202788,1.67196e-08,42
qnn_04_ind_ng3,720,30,true,true,true,4,4,55,102,16,0.00052483,5.78326e-10,0.00449746,9.40306e-08,170
qnn_04_mp0_mp3,390,30,false,true,true,8,8,150,114,198,0.000935051,2.72247e-09,0.00930688,1.26429e-07,1790
qnn_04_ng0_mp0,1222,30,true,true,true,4,4,111,150,198,0.000746992,1.71915e-09,0.0026445,9.44771e-09,66
qnn_04_ng0_mp3,620,30,false,true,true,8,8,111,114,184,0.000739008,7.26393e-10,0.00788152,1.11897e-07,1790
qnn_04_ng0_ng3,1506,30,true,true,true,4,4,111,102,192,0.000517766,7.57958e-10,0.00161851,7.75093e-09,18
qnn_04_ng3_mp0,784,30,true,true,true,4,4,102,150,180,0.000743526,1.42379e-09,0.0029841,4.35945e-08,66
qnn_04_ng3_mp3,380,30,false,true,true,8,8,102,114,180,0.00073954,1.84152e-09,0.00845017,8.40143e-08,1790
qnn_08_ind_mp0,45,30,true,true,true,8,8,207,523,158,0.00104574,2.82464e-08,0.0845321,3.76139e-05,1866
qnn_08_ind_mp3,1,30,false,true,false,8,127,216,488,0,30,0,30,0,0
qnn_08_ind_ng0,40,30,true,true,true,8,8,207,319,46,0.000651725,7.56352e-09,0.108092,6.39924e-06,3050
qnn_08_ind_ng3,221,30,true,true,true,8,8,207,291,76,0.000611551,1.16567e-09,0.0192113,3.6618e-07,470
qnn_08_mp0_mp3,1,30,false,true,false,127,127,532,488,0,30,0,30,0,0
qnn_08_ng0_mp0,94,30,true,true,true,8,8,319,523,568,0.00102287,8.46935e-09,0.0414456,1.25217e-05,946
qnn_08_ng0_mp3,1,30,false,true,false,8,127,328,488,0,30,0,30,0,0
qnn_08_ng0_ng3,286,30,true,true,true,8,8,319,291,570,0.000610985,2.12633e-09,0.00250203,6.9713e-07,26
qnn_08_ng3_mp0,112,30,true,true,true,8,8,291,523,518,0.00103407,8.13912e-09,0.0361405,7.60926e-07,962
qnn_08_ng3_mp3,1,30,false,true,false,8,127,300,488,0,30,0,30,0,0
qnn_16_ind_mp0,1,30,false,true,false,16,127,816,2564,0,30,0,30,0,0
qnn_16_ind_mp3,1,30,false,true,false,16,127,816,1920,0,30,0,30,0,0
qnn_16_ind_ng0,1,30,false,true,false,16,16,816,1040,0,30,0,30,0,0
qnn_16_ind_ng3,1,30,false,true,false,16,16,816,981,0,30,0,30,0,0
qnn_16_mp0_mp3,1,30,false,true,false,127,127,2564,1920,0,30,0,30,0,0
qnn_16_ng0_mp0,1,30,false,true,false,16,127,1040,2564,0,30,0,30,0,0
qnn_16_ng0_mp3,1,30,false,true,false,16,127,1040,1920,0,30,0,30,0,0
qnn_16_ng0_ng3,161,30,true,true,true,16,16,1023,964,1916,0.000834239,1.93808e-09,0.0113439,1.0724e-05,39
qnn_16_ng3_mp0,1,30,false,true,false,16,127,981,2564,0,30,0,30,0,0
qnn_16_ng3_mp3,1,30,false,true,false,16,127,981,1920,0,30,0,30,0,0
