name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,598,30,true,true,true,4,4,10,41,0,0.000580976,3.54319e-10,0.000904687,2.5541e-07,26
dj_04_ind_mp3,289,30,false,true,true,7,7,10,36,0,0.000629113,1.92513e-09,0.00108542,8.28077e-07,51
dj_04_ind_ng0,2276,30,true,true,true,4,4,10,29,0,0.000460815,1.81647e-10,0.000772368,1.58414e-09,13
dj_04_ind_ng3,2866,30,true,true,true,4,4,10,35,0,0.000462805,1.2285e-10,0.00079204,1.44219e-09,14
dj_04_mp0_mp3,2062,30,false,true,true,7,7,41,36,0,0.000745203,6.41707e-10,0.00119485,1.83054e-09,57
dj_04_ng0_mp0,1773,30,true,true,true,4,4,29,41,0,0.000601849,1.17364e-09,0.00124185,7.21065e-08,26
dj_04_ng0_mp3,1264,30,false,true,true,7,7,29,36,0,0.000645106,2.16947e-09,0.00150892,2.05044e-08,51
dj_04_ng0_ng3,1966,30,true,true,true,4,4,29,35,0,0.000470682,4.31911e-10,0.00117349,7.45112e-09,14
dj_04_ng3_mp0,1822,30,true,true,true,4,4,35,41,0,0.000604447,4.88002e-10,0.00126012,5.04393e-09,26
dj_04_ng3_mp3,1459,30,false,true,true,7,7,35,36,0,0.000649698,2.09467e-09,0.00152421,9.04492e-09,51
dj_08_ind_mp0,1139,30,true,true,true,8,8,22,117,0,0.000674833,8.82194e-10,0.00260258,9.13185e-09,106
dj_08_ind_mp3,742,30,false,true,true,15,15,22,84,0,0.000692467,6.91085e-10,0.00284495,2.73506e-08,937
dj_08_ind_ng0,1305,30,true,true,true,8,8,22,63,0,0.000494072,2.01766e-09,0.00171251,8.66789e-09,29
dj_08_ind_ng3,1143,30,true,true,true,8,8,22,61,0,0.000495266,1.40946e-09,0.00195576,1.55426e-08,30
dj_08_mp0_mp3,413,30,false,true,true,15,15,117,84,0,0.000861497,1.20229e-09,0.00433514,1.55018e-07,983
dj_08_ng0_mp0,1231,30,true,true,true,8,8,63,117,0,0.000691917,2.0916e-09,0.00286013,3.77777e-08,110
dj_08_ng0_mp3,1147,30,false,true,true,15,15,63,84,0,0.000707507,7.39085e-10,0.00314437,9.89296e-09,937
dj_08_ng0_ng3,1018,30,true,true,true,8,8,63,61,0,0.000512842,2.65956e-09,0.00217764,1.29901e-08,30
dj_08_ng3_mp0,797,30,true,true,true,8,8,61,117,0,0.00069965,8.74454e-10,0.00311873,2.48931e-08,110
dj_08_ng3_mp3,1026,30,false,true,true,15,15,61,84,0,0.000708102,9.2464e-10,0.00337202,1.96405e-08,937
dj_16_ind_mp0,167,30,false,true,true,31,31,46,296,0,0.000909931,4.96877e-09,0.0192043,1.72238e-06,889
dj_16_ind_mp3,24,30,false,true,true,32,32,46,200,0,0.000868749,2.78053e-09,0.2077,4.04181e-06,242448
dj_16_ind_ng0,400,30,true,true,true,16,16,46,125,0,0.000550596,7.01505e-10,0.00354491,1.92648e-07,61
dj_16_ind_ng3,832,30,true,true,true,16,16,46,131,0,0.000559811,5.48285e-10,0.00552797,5.96478e-08,62
