name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,873,30,true,true,true,4,4,10,41,6,0.00124631,1.96372e-10,0.000781038,4.9028e-08,26
dj_04_ind_mp3,815,30,false,true,true,8,8,10,36,4,0.00125174,2.06999e-10,0.00100846,4.28951e-08,54
dj_04_ind_ng0,1867,30,true,true,true,4,4,10,29,6,0.00113958,1.66011e-09,0.000900421,1.50561e-07,13
dj_04_ind_ng3,1767,30,true,true,true,4,4,10,35,4,0.00115486,4.47719e-09,0.00097963,1.64869e-07,14
dj_04_mp0_mp3,1357,30,false,true,true,8,8,41,36,48,0.00141551,1.06163e-08,0.00142543,1.38872e-07,276
dj_04_ng0_mp0,1697,30,true,true,true,4,4,29,41,54,0.00124908,3.26943e-10,0.000798764,2.74586e-08,26
dj_04_ng0_mp3,1514,30,false,true,true,8,8,29,36,46,0.00125464,2.12773e-10,0.00104408,4.14792e-08,55
dj_04_ng0_ng3,1748,30,true,true,true,4,4,29,35,46,0.0011316,2.73652e-10,0.000765983,2.16534e-08,14
dj_04_ng3_mp0,1620,30,true,true,true,4,4,35,41,46,0.00125188,3.29208e-10,0.000850263,2.45286e-08,26
dj_04_ng3_mp3,1433,30,false,true,true,8,8,35,36,62,0.00125454,5.04483e-10,0.00101601,2.18844e-08,55
dj_08_ind_mp0,1260,30,true,true,true,8,8,22,117,14,0.00129668,9.46742e-11,0.00163988,2.39878e-08,106
dj_08_ind_mp3,1026,30,false,true,true,16,16,22,84,4,0.00129372,2.73323e-10,0.00192352,4.50002e-08,936
dj_08_ind_ng0,1590,30,true,true,true,8,8,22,63,8,0.00114242,4.67849e-11,0.00110017,2.40947e-08,29
dj_08_ind_ng3,1512,30,true,true,true,8,8,22,61,4,0.00114415,6.61057e-11,0.00122709,2.36627e-08,30
dj_08_mp0_mp3,120,30,false,true,true,16,16,117,84,110,0.00147762,4.88907e-10,0.0410825,2.50788e-06,67784
dj_08_ng0_mp0,887,30,true,true,true,8,8,63,117,120,0.00130232,1.90128e-10,0.00177726,4.47455e-08,110
dj_08_ng0_mp3,1166,30,false,true,true,16,16,63,84,104,0.00130191,2.75541e-10,0.00213443,4.31502e-08,937
dj_08_ng0_ng3,1463,30,true,true,true,8,8,63,61,92,0.00114563,6.22605e-11,0.00134353,2.18318e-08,30
dj_08_ng3_mp0,1156,30,true,true,true,8,8,61,117,92,0.00130337,1.51609e-10,0.00204501,3.49255e-08,110
dj_08_ng3_mp3,1141,30,false,true,true,16,16,61,84,110,0.00130133,2.74792e-10,0.00213439,4.2545e-08,937
dj_16_ind_mp0,281,30,false,true,true,31,31,46,296,10,0.00144706,3.91558e-10,0.0119256,5.50533e-07,889
dj_16_ind_mp3,36,30,false,true,true,33,33,46,200,4,0.00141707,5.95494e-10,0.138491,1.07161e-05,230160
dj_16_ind_ng0,1140,30,true,true,true,16,16,46,125,8,0.00116706,1.18524e-10,0.00219638,4.88459e-08,61
dj_16_ind_ng3,877,30,true,true,true,16,16,46,131,6,0.00117046,8.82394e-11,0.00323353,6.08062e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,92,30,false,true,true,31,31,125,296,232,0.00167025,6.69883e-07,0.0520723,7.15211e-06,1086
dj_16_ng0_mp3,17,30,false,true,true,33,33,125,200,220,0.00191036,1.66814e-06,0.303875,3.53683e-05,230161
dj_16_ng0_ng3,333,30,true,true,true,16,16,125,131,190,0.00124165,1.92882e-07,0.00864042,3.30435e-06,62
dj_16_ng3_mp0,90,30,false,true,true,31,31,131,296,194,0.00200091,1.69671e-06,0.0625506,1.69679e-05,1086
dj_16_ng3_mp3,14,30,false,true,true,33,33,131,200,240,0.0014545,3.55755e-10,0.329969,0.000506537,230161
portfolioqaoa_04_ind_mp0,276,30,false,true,true,4,4,34,189,0,0.00156111,7.26735e-07,0.0125206,2.83792e-06,170
portfolioqaoa_04_ind_mp3,356,30,false,true,true,8,8,34,143,0,0.00135433,1.19761e-08,0.00933366,3.14053e-06,1790
portfolioqaoa_04_ind_ng0,312,30,false,true,true,4,4,34,138,0,0.00131638,5.54112e-07,0.0128618,2.30133e-06,170
portfolioqaoa_04_ind_ng3,321,30,false,true,true,4,4,34,123,0,0.00128108,3.53296e-07,0.0115355,3.51554e-06,170
portfolioqaoa_04_mp0_mp3,63,30,false,true,true,8,8,189,143,248,0.00166054,2.57586e-07,0.0735648,3.26159e-05,27370
portfolioqaoa_04_ng0_mp0,237,30,false,true,true,4,4,138,189,224,0.00139014,6.71008e-08,0.0158576,2.50483e-06,170
portfolioqaoa_04_ng0_mp3,245,30,false,true,true,8,8,138,143,226,0.00137561,6.52242e-08,0.013832,1.52415e-06,1790
portfolioqaoa_04_ng0_ng3,306,30,false,true,true,4,4,138,123,232,0.00117742,7.81964e-11,0.0136753,1.83064e-06,170
portfolioqaoa_04_ng3_mp0,291,30,false,true,true,4,4,123,189,204,0.00152237,5.81809e-07,0.0150697,1.90429e-06,170
portfolioqaoa_04_ng3_mp3,243,30,false,true,true,8,8,123,143,216,0.00141102,1.95049e-07,0.0136798,2.82864e-06,1790
portfolioqaoa_08_ind_mp0,3,30,false,true,true,8,8,116,693,0,0.00168393,4.2854e-09,12.0801,0.00165501,0
portfolioqaoa_08_ind_mp3,1,30,false,true,false,8,127,134,666,0,30,0,30,0,0
portfolioqaoa_08_ind_ng0,3,30,false,true,true,8,8,116,420,0,0.0039283,1.41239e-05,26.1896,42.0766,0
portfolioqaoa_08_ind_ng3,3,30,false,true,true,8,8,116,393,0,0.0012363,1.3858e-09,14.5481,0.0125849,0
portfolioqaoa_08_mp0_mp3,1,30,false,true,false,127,127,711,666,0,30,0,30,0,0
portfolioqaoa_08_ng0_mp0,3,30,false,true,true,8,8,420,693,0,0.00174872,2.99848e-09,22.1292,0.00431725,0
portfolioqaoa_08_ng0_mp3,3,30,false,true,true,16,16,420,648,0,0.00571017,3.20482e-05,13.4649,0.010212,0
portfolioqaoa_08_ng0_ng3,3,30,false,true,true,8,8,420,393,0,0.00126318,1.19251e-09,18.7226,0.0112378,0
portfolioqaoa_08_ng3_mp0,3,30,false,true,true,8,8,393,693,0,0.00184515,3.19851e-08,21.9163,0.139734,0
portfolioqaoa_08_ng3_mp3,3,30,false,true,true,16,16,393,648,0,0.00571993,3.19866e-05,12.5887,0.00859392,0
portfolioqaoa_16_ind_mp0,1,30,false,true,false,16,127,458,3505,0,30,0,30,0,0
portfolioqaoa_16_ind_mp3,1,30,false,true,false,16,127,458,2880,0,30,0,30,0,0
portfolioqaoa_16_ind_ng0,1,30,false,true,false,16,16,458,1450,0,30,0,30,0,0
portfolioqaoa_16_ind_ng3,1,30,false,true,false,16,16,458,1399,0,30,0,30,0,0
portfolioqaoa_16_mp0_mp3,1,30,false,true,false,127,127,3505,2880,0,30,0,30,0,0
portfolioqaoa_16_ng0_mp0,1,30,false,true,false,16,127,1450,3505,0,30,0,30,0,0
portfolioqaoa_16_ng0_mp3,1,30,false,true,false,16,127,1450,2880,0,30,0,30,0,0
portfolioqaoa_16_ng0_ng3,1,30,false,true,false,16,16,1450,1399,0,30,0,30,0,0
portfolioqaoa_16_ng3_mp0,1,30,false,true,false,16,127,1399,3505,0,30,0,30,0,0
portfolioqaoa_16_ng3_mp3,1,30,false,true,false,16,127,1399,2880,0,30,0,30,0,0
portfoliovqe_04_ind_mp0,31,30,false,true,true,4,4,34,257,0,0.00140462,1.45383e-10,0.120531,7.20279e-05,170
portfoliovqe_04_ind_mp3,72,30,false,true,true,8,8,34,126,0,0.00232659,3.40781e-05,0.0731882,7.40205e-05,1790
portfoliovqe_04_ind_ng0,51,30,false,true,true,4,4,34,206,0,0.00188415,2.49091e-05,0.117941,2.80727e-05,170
portfoliovqe_04_ind_ng3,71,30,false,true,true,4,4,34,90,0,0.011785,0.000291093,0.0861197,0.000279279,170
portfoliovqe_04_mp0_mp3,9,30,false,true,true,8,8,257,126,248,0.00160217,1.4644e-10,0.511919,0.000164722,27370
portfoliovqe_04_ng0_mp0,29,30,false,true,true,4,4,206,257,380,0.00279958,5.32909e-05,0.172277,3.303e-05,170
portfoliovqe_04_ng0_mp3,36,30,false,true,true,8,8,206,126,214,0.00436143,9.99598e-05,0.125215,7.51329e-05,1790
