name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,608,30,true,true,true,4,4,10,41,6,0.000598393,3.80107e-10,0.000875563,1.40856e-07,26
dj_04_ind_mp3,569,30,false,true,true,7,7,10,36,4,0.000642173,3.65324e-10,0.00103653,9.34587e-08,51
dj_04_ind_ng0,2749,30,true,true,true,4,4,10,29,6,0.000476043,3.22456e-10,0.000758086,3.08963e-09,14
dj_04_ind_ng3,2689,30,true,true,true,4,4,10,35,4,0.000476322,3.13698e-10,0.00078079,4.20819e-09,14
dj_04_mp0_mp3,2063,30,false,true,true,7,7,41,36,48,0.000761777,5.83047e-10,0.00122471,5.63254e-09,57
dj_04_ng0_mp0,2447,30,true,true,true,4,4,29,41,54,0.000606497,4.7323e-10,0.000893059,5.36237e-09,26
dj_04_ng0_mp3,2287,30,false,true,true,7,7,29,36,46,0.000646606,4.60171e-10,0.00110533,5.41119e-09,51
dj_04_ng0_ng3,2609,30,true,true,true,4,4,29,35,46,0.000480325,3.08208e-10,0.000868071,5.9732e-09,14
dj_04_ng3_mp0,997,30,true,true,true,4,4,35,41,46,0.000607491,4.10831e-10,0.000971067,1.75466e-08,26
dj_04_ng3_mp3,2202,30,false,true,true,7,7,35,36,62,0.000648622,3.70215e-10,0.0011473,6.0276e-09,51
dj_08_ind_mp0,1583,30,true,true,true,8,8,22,117,14,0.000682553,5.22636e-10,0.00211697,6.98034e-09,106
dj_08_ind_mp3,1492,30,false,true,true,15,15,22,84,4,0.000708291,5.88342e-10,0.00241921,9.38575e-09,937
dj_08_ind_ng0,2221,30,true,true,true,8,8,22,63,8,0.000501771,4.27092e-10,0.00133176,8.48403e-09,30
dj_08_ind_ng3,1969,30,true,true,true,8,8,22,61,4,0.000499316,2.57318e-10,0.00157878,5.21487e-09,30
dj_08_mp0_mp3,1014,30,false,true,true,15,15,117,84,110,0.000874988,6.04749e-10,0.00377338,9.44013e-09,983
dj_08_ng0_mp0,1458,30,true,true,true,8,8,63,117,120,0.00069201,5.38409e-10,0.00235551,8.2431e-09,110
dj_08_ng0_mp3,1408,30,false,true,true,15,15,63,84,104,0.000715551,5.0227e-10,0.00268503,5.60469e-09,937
dj_08_ng0_ng3,1735,30,true,true,true,8,8,63,61,92,0.000504587,2.89482e-10,0.0017047,5.61727e-09,30
dj_08_ng3_mp0,1290,30,true,true,true,8,8,61,117,92,0.000690919,5.14068e-10,0.00276212,8.6248e-09,110
dj_08_ng3_mp3,1296,30,false,true,true,15,15,61,84,110,0.000717786,6.04105e-10,0.00290167,5.01891e-09,937
dj_16_ind_mp0,185,30,false,true,true,31,31,46,296,10,0.000905301,5.01338e-10,0.0184339,5.18128e-07,889
dj_16_ind_mp3,26,30,false,true,true,32,32,46,200,4,0.000860542,6.57775e-10,0.192442,3.90193e-06,242448
dj_16_ind_ng0,1269,30,true,true,true,16,16,46,125,8,0.000560751,2.9201e-10,0.00316445,1.97124e-08,62
dj_16_ind_ng3,849,30,true,true,true,16,16,46,131,6,0.000576628,6.27995e-10,0.00498236,8.08923e-09,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,56,30,false,true,true,31,31,125,296,232,0.00141671,1.76607e-06,0.0904307,6.89211e-06,1086
dj_16_ng0_mp3,10,30,false,true,true,32,32,125,200,220,0.000886055,2.56819e-10,0.465505,4.52037e-05,242449
dj_16_ng0_ng3,199,30,true,true,true,16,16,125,131,190,0.000609131,2.83265e-10,0.0109719,4.37247e-06,62
dj_16_ng3_mp0,56,30,false,true,true,31,31,131,296,194,0.00192394,3.00989e-06,0.105828,1.71134e-05,1086
dj_16_ng3_mp3,10,30,false,true,true,32,32,131,200,240,0.00128154,1.4489e-06,0.462771,1.03028e-05,242449
portfolioqaoa_04_ind_mp0,266,30,false,true,true,4,4,34,189,0,0.000810876,5.84264e-10,0.0168065,2.72112e-06,170
portfolioqaoa_04_ind_mp3,186,30,false,true,true,8,8,34,143,0,0.000796151,7.93003e-10,0.0120795,3.85767e-06,1790
portfolioqaoa_04_ind_ng0,238,30,false,true,true,4,4,34,138,0,0.000587116,4.97006e-10,0.018748,3.74444e-06,170
portfolioqaoa_04_ind_ng3,333,30,false,true,true,4,4,34,123,0,0.000575295,3.2577e-10,0.0146792,1.67708e-06,170
portfolioqaoa_04_mp0_mp3,135,30,false,true,true,8,8,189,143,248,0.00102355,4.75761e-10,0.0231423,3.81688e-06,1790
portfolioqaoa_04_ng0_mp0,212,30,false,true,true,4,4,138,189,224,0.00081685,4.50386e-10,0.0218703,1.39398e-06,170
