name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,849,30,true,true,true,4,4,10,41,6,0.00125672,4.19364e-09,0.00075951,5.94679e-08,26
dj_04_ind_mp3,668,30,false,true,true,8,8,10,36,4,0.00131281,1.30918e-08,0.00139668,1.51326e-07,54
dj_04_ind_ng0,1859,30,true,true,true,4,4,10,29,6,0.00115157,2.62901e-09,0.000997651,5.84227e-08,14
dj_04_ind_ng3,1733,30,true,true,true,4,4,10,35,4,0.00116499,7.2447e-09,0.000844306,6.63006e-08,14
dj_04_mp0_mp3,1404,30,false,true,true,8,8,41,36,48,0.00143233,1.60474e-08,0.00145916,1.24643e-07,276
dj_04_ng0_mp0,1710,30,true,true,true,4,4,29,41,54,0.00126274,3.28305e-09,0.000931323,5.19122e-08,26
dj_04_ng0_mp3,1651,30,false,true,true,8,8,29,36,46,0.00128545,4.47027e-09,0.00143248,1.31454e-07,55
dj_04_ng0_ng3,1811,30,true,true,true,4,4,29,35,46,0.00116141,6.12604e-09,0.000874531,6.63753e-08,14
dj_04_ng3_mp0,1285,30,true,true,true,4,4,35,41,46,0.00129102,8.20213e-09,0.00126509,8.15839e-08,26
dj_04_ng3_mp3,1356,30,false,true,true,8,8,35,36,62,0.00126568,2.5592e-09,0.00146748,5.99695e-08,55
dj_08_ind_mp0,995,30,true,true,true,8,8,22,117,14,0.00131521,3.65242e-09,0.00206756,7.85295e-08,106
dj_08_ind_mp3,1116,30,false,true,true,16,16,22,84,4,0.00134192,1.24145e-08,0.00251143,1.25951e-07,936
dj_08_ind_ng0,1273,30,true,true,true,8,8,22,63,8,0.00118776,8.17982e-09,0.00162021,1.10275e-07,30
dj_08_ind_ng3,1473,30,true,true,true,8,8,22,61,4,0.00117857,6.40821e-09,0.00178543,1.16267e-07,30
dj_08_mp0_mp3,94,30,false,true,true,16,16,117,84,110,0.00157739,2.7955e-08,0.0470603,3.02053e-05,67784
dj_08_ng0_mp0,991,30,true,true,true,8,8,63,117,120,0.00132026,3.55853e-09,0.00178478,5.73995e-08,110
dj_08_ng0_mp3,878,30,false,true,true,16,16,63,84,104,0.00130777,1.77347e-09,0.00200177,2.62981e-08,937
dj_08_ng0_ng3,1469,30,true,true,true,8,8,63,61,92,0.00115648,2.37109e-10,0.00136325,5.89444e-08,30
dj_08_ng3_mp0,1114,30,true,true,true,8,8,61,117,92,0.00133501,5.81481e-09,0.00241085,1.0728e-07,110
dj_08_ng3_mp3,1069,30,false,true,true,16,16,61,84,110,0.00132305,5.59718e-09,0.00239109,1.85373e-07,937
dj_16_ind_mp0,282,30,false,true,true,31,31,46,296,10,0.0014429,7.1996e-10,0.0122011,8.6157e-07,889
dj_16_ind_mp3,35,30,false,true,true,33,33,46,200,4,0.00141705,6.00325e-10,0.146142,0.000148853,230160
dj_16_ind_ng0,1094,30,true,true,true,16,16,46,125,8,0.00117304,1.31272e-10,0.00245084,9.63795e-08,62
dj_16_ind_ng3,855,30,true,true,true,16,16,46,131,6,0.00117503,1.15212e-10,0.00333642,9.0517e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,92,30,false,true,true,31,31,125,296,232,0.00180385,1.13642e-06,0.0557257,1.00223e-05,1086
dj_16_ng0_mp3,17,30,false,true,true,33,33,125,200,220,0.00237782,2.9086e-06,0.291875,0.000100757,230161
dj_16_ng0_ng3,337,30,true,true,true,16,16,125,131,190,0.0012336,1.51646e-07,0.00848516,2.81843e-06,62
