name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,467,30,true,true,true,4,4,10,41,6,0.000624655,2.18648e-09,0.000982973,5.03302e-07,26
dj_04_ind_mp3,409,30,false,true,true,8,8,10,36,4,0.000643871,8.78039e-10,0.00116546,2.66657e-07,54
dj_04_ind_ng0,2086,30,true,true,true,4,4,10,29,6,0.000466325,2.06958e-10,0.000818565,2.95395e-09,14
dj_04_ind_ng3,1941,30,true,true,true,4,4,10,35,4,0.000465196,9.39395e-11,0.000890269,2.403e-09,14
dj_04_mp0_mp3,1144,30,false,true,true,8,8,41,36,48,0.000838901,6.65504e-10,0.001507,5.67135e-09,276
dj_04_ng0_mp0,2388,30,true,true,true,4,4,29,41,56,0.000625627,2.82573e-10,0.000930899,3.04518e-09,26
dj_04_ng0_mp3,1569,30,false,true,true,8,8,29,36,48,0.000648729,4.10397e-10,0.00120499,3.76719e-09,55
dj_04_ng0_ng3,1978,30,true,true,true,4,4,29,35,46,0.000466491,1.65555e-10,0.000873495,2.17212e-09,14
dj_04_ng3_mp0,1005,30,true,true,true,4,4,35,41,46,0.000629327,3.11059e-10,0.001016,1.30131e-08,30
dj_04_ng3_mp3,2269,30,false,true,true,8,8,35,36,64,0.00064927,5.01528e-10,0.00120194,3.406e-09,55
dj_08_ind_mp0,1417,30,true,true,true,8,8,22,117,14,0.00070683,2.54577e-10,0.0023397,3.48222e-09,106
dj_08_ind_mp3,854,30,false,true,true,16,16,22,84,6,0.000714591,3.81366e-10,0.00250817,1.81482e-08,936
dj_08_ind_ng0,1372,30,true,true,true,8,8,22,63,4,0.000487647,1.42807e-10,0.00152101,4.56628e-09,30
dj_08_ind_ng3,1913,30,true,true,true,8,8,22,61,2,0.000486102,1.44388e-10,0.00165061,3.01912e-09,30
dj_08_mp0_mp3,79,30,false,true,true,16,16,117,84,114,0.000997573,9.16205e-10,0.0665884,6.06845e-07,67784
dj_08_ng0_mp0,470,30,true,true,true,8,8,63,117,124,0.000717466,1.31394e-09,0.00229439,2.26325e-07,106
dj_08_ng0_mp3,906,30,false,true,true,16,16,63,84,108,0.000726237,1.97773e-10,0.0027751,1.59568e-08,937
dj_08_ng0_ng3,1390,30,true,true,true,8,8,63,61,90,0.000494985,5.67182e-10,0.00154042,3.82995e-09,29
dj_08_ng3_mp0,1050,30,true,true,true,8,8,61,117,92,0.000717349,5.40564e-10,0.00277471,1.22926e-08,118
dj_08_ng3_mp3,822,30,false,true,true,16,16,61,84,114,0.000727294,1.11851e-09,0.00279746,1.921e-08,937
dj_16_ind_mp0,200,30,false,true,true,31,31,46,296,18,0.000939248,3.14857e-09,0.016196,1.04481e-06,989
dj_16_ind_mp3,23,30,false,true,true,33,33,46,200,26,0.000924174,2.6536e-08,0.219727,5.60444e-06,230160
dj_16_ind_ng0,675,30,true,true,true,16,16,46,125,6,0.000549169,3.6396e-10,0.00360958,4.71033e-08,62
dj_16_ind_ng3,648,30,true,true,true,16,16,46,131,4,0.000549112,3.24099e-10,0.00416758,5.02041e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,115,30,false,true,true,31,31,125,296,240,0.00094305,4.8789e-09,0.0430223,9.88915e-07,1086
dj_16_ng0_mp3,20,30,false,true,true,33,33,125,200,230,0.000927985,2.22617e-08,0.25152,1.60543e-05,230161
dj_16_ng0_ng3,324,30,true,true,true,16,16,125,131,192,0.000574016,4.28132e-10,0.00532387,7.58794e-07,62
dj_16_ng3_mp0,115,30,false,true,true,31,31,131,296,194,0.000947841,8.13389e-09,0.050232,1.16235e-06,1086
dj_16_ng3_mp3,19,30,false,true,true,33,33,131,200,254,0.0009393,2.67029e-08,0.254363,4.72113e-06,230161
portfolioqaoa_04_ind_mp0,455,30,false,true,true,4,4,34,189,0,0.000825623,5.43982e-10,0.00814607,5.47155e-08,170
portfolioqaoa_04_ind_mp3,647,30,false,true,true,8,8,34,143,0,0.000800448,1.48832e-09,0.00561299,9.91321e-08,1790
portfolioqaoa_04_ind_ng0,533,30,false,true,true,4,4,34,138,0,0.000556578,1.95831e-10,0.0086091,1.80918e-08,170
portfolioqaoa_04_ind_ng3,363,30,false,true,true,4,4,34,123,0,0.00055399,5.50769e-10,0.00709681,1.09122e-07,170
portfolioqaoa_04_mp0_mp3,80,30,false,true,true,8,8,189,143,250,0.00111518,5.1942e-10,0.057509,5.62286e-07,27370
portfolioqaoa_04_ng0_mp0,445,30,false,true,true,4,4,138,189,232,0.00083971,6.5252e-10,0.0103538,2.11816e-08,170
portfolioqaoa_04_ng0_mp3,373,30,false,true,true,8,8,138,143,236,0.00082559,2.31585e-09,0.00920453,2.43026e-07,1790
portfolioqaoa_04_ng0_ng3,503,30,false,true,true,4,4,138,123,246,0.000573616,3.43714e-10,0.00891588,5.5399e-08,170
portfolioqaoa_04_ng3_mp0,301,30,false,true,true,4,4,123,189,214,0.000835716,1.92815e-09,0.0104009,2.5541e-07,170
portfolioqaoa_04_ng3_mp3,346,30,false,true,true,8,8,123,143,226,0.000822023,2.83546e-09,0.00892421,2.84248e-07,1790
portfolioqaoa_08_ind_mp0,3,30,false,true,true,8,8,116,693,0,0.00152048,2.84553e-07,9.83451,0.102885,14563
portfolioqaoa_08_ind_mp3,1,30,false,true,false,8,127,134,666,0,30,0,30,0,0
portfolioqaoa_08_ind_ng0,3,30,false,true,true,8,8,116,420,0,0.000688892,2.64353e-09,10.5547,0.0488956,0
portfolioqaoa_08_ind_ng3,3,30,false,true,true,8,8,116,393,0,0.000740937,4.05481e-08,7.50996,0.000657582,43690
portfolioqaoa_08_mp0_mp3,1,30,false,true,false,127,127,711,666,0,30,0,30,0,0
portfolioqaoa_08_ng0_mp0,3,30,false,true,true,8,8,420,693,708,0.00165642,2.37455e-07,9.09945,0.0358914,43690
portfolioqaoa_08_ng0_mp3,1,30,false,true,false,8,127,438,666,0,30,0,30,0,0
portfolioqaoa_08_ng0_ng3,3,30,false,false,true,8,8,420,393,786,0.000811101,3.56637e-09,8.75616,1.53183,29126
portfolioqaoa_08_ng3_mp0,3,30,false,true,true,8,8,393,693,0,0.0018269,2.29515e-07,10.4871,0.0416825,0
portfolioqaoa_08_ng3_mp3,1,30,false,true,false,8,127,411,666,0,30,0,30,0,0
portfolioqaoa_16_ind_mp0,1,30,false,true,false,16,127,458,3505,0,30,0,30,0,0
portfolioqaoa_16_ind_mp3,1,30,false,true,false,16,127,458,2880,0,30,0,30,0,0
portfolioqaoa_16_ind_ng0,1,30,false,true,false,16,16,458,1450,0,30,0,30,0,0
portfolioqaoa_16_ind_ng3,1,30,false,true,false,16,16,458,1399,0,30,0,30,0,0
portfolioqaoa_16_mp0_mp3,1,30,false,true,false,127,127,3505,2880,0,30,0,30,0,0
portfolioqaoa_16_ng0_mp0,1,30,false,true,false,16,127,1450,3505,0,30,0,30,0,0
portfolioqaoa_16_ng0_mp3,1,30,false,true,false,16,127,1450,2880,0,30,0,30,0,0
portfolioqaoa_16_ng0_ng3,1,30,false,true,false,16,16,1450,1399,0,30,0,30,0,0
portfolioqaoa_16_ng3_mp0,1,30,false,true,false,16,127,1399,3505,0,30,0,30,0,0
portfolioqaoa_16_ng3_mp3,1,30,false,true,false,16,127,1399,2880,0,30,0,30,0,0
portfoliovqe_04_ind_mp0,234,30,false,true,true,4,4,34,257,0,0.000867515,3.27415e-09,0.00993767,1.74103e-06,170
portfoliovqe_04_ind_mp3,844,30,false,true,true,8,8,34,126,0,0.000780835,6.63025e-10,0.00470133,7.26971e-08,1790
portfoliovqe_04_ind_ng0,290,30,false,true,true,4,4,34,206,0,0.000562829,4.48904e-10,0.0100619,1.18307e-06,170
portfoliovqe_04_ind_ng3,537,30,false,true,true,4,4,34,90,0,0.00053625,7.8241e-10,0.00703744,2.63855e-07,170
portfoliovqe_04_mp0_mp3,79,30,false,true,true,8,8,257,126,248,0.00116572,8.80641e-09,0.05178,3.65434e-06,27370
portfoliovqe_04_ng0_mp0,315,30,false,true,true,4,4,206,257,378,0.000886696,3.30805e-09,0.0151675,3.9384e-07,170
portfoliovqe_04_ng0_mp3,440,30,false,true,true,8,8,206,126,214,0.000817867,1.85971e-09,0.0104804,1.65503e-07,1790
portfoliovqe_04_ng0_ng3,270,30,false,true,true,4,4,206,90,180,0.000567101,4.10386e-10,0.0103066,4.73168e-07,170
portfoliovqe_04_ng3_mp0,331,30,false,true,true,4,4,90,257,180,0.000864789,7.53053e-10,0.0128634,1.50112e-06,170
portfoliovqe_04_ng3_mp3,344,30,false,true,true,8,8,90,126,172,0.000789771,1.13853e-09,0.00724623,1.38371e-07,1790
portfoliovqe_08_ind_mp0,3,30,false,true,true,8,8,116,1021,0,0.00212178,3.73847e-07,10.3153,0.00127639,0
portfoliovqe_08_ind_mp3,1,30,false,true,false,8,127,125,691,0,30,0,30,0,0
