name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,893,30,true,true,true,4,4,10,41,0,0.00127593,8.53091e-09,0.00108898,5.37112e-08,26
dj_04_ind_mp3,755,30,false,true,true,8,8,10,36,0,0.00124188,6.65352e-10,0.00111071,3.19719e-08,54
dj_04_ind_ng0,1811,30,true,true,true,4,4,10,29,0,0.00112532,4.16729e-11,0.000928427,8.69492e-09,14
dj_04_ind_ng3,1901,30,true,true,true,4,4,10,35,0,0.00112592,2.2969e-11,0.000930352,8.56534e-09,14
dj_04_mp0_mp3,1470,30,false,true,true,8,8,41,36,0,0.00136685,1.06296e-10,0.00137609,1.14597e-08,276
dj_04_ng0_mp0,1696,30,true,true,true,4,4,29,41,0,0.00124349,4.06364e-11,0.00103146,7.65808e-09,26
dj_04_ng0_mp3,1639,30,false,true,true,8,8,29,36,0,0.00124237,4.16377e-11,0.00110648,7.00031e-09,55
dj_04_ng0_ng3,1781,30,true,true,true,4,4,29,35,0,0.00112686,2.33723e-11,0.0009802,6.35411e-09,14
dj_04_ng3_mp0,1652,30,true,true,true,4,4,35,41,0,0.00124674,4.32096e-11,0.0010943,7.7187e-09,30
dj_04_ng3_mp3,1559,30,false,true,true,8,8,35,36,0,0.00124397,5.65817e-11,0.00116577,1.23983e-08,55
dj_08_ind_mp0,1356,30,true,true,true,8,8,22,117,0,0.00129176,6.67995e-11,0.00165369,1.18638e-08,106
dj_08_ind_mp3,1062,30,false,true,true,16,16,22,84,0,0.00127889,6.1877e-11,0.00190193,3.0505e-08,936
dj_08_ind_ng0,1434,30,true,true,true,8,8,22,63,0,0.00113518,3.48167e-11,0.00116665,1.17361e-08,28
dj_08_ind_ng3,1569,30,true,true,true,8,8,22,61,0,0.00113662,2.3209e-10,0.00126985,8.66405e-09,30
dj_08_mp0_mp3,124,30,false,true,true,16,16,117,84,0,0.00146946,1.06284e-10,0.0399906,2.18206e-06,67784
dj_08_ng0_mp0,1134,30,true,true,true,8,8,63,117,0,0.00129534,7.69639e-11,0.00168363,1.92017e-08,106
dj_08_ng0_mp3,985,30,false,true,true,16,16,63,84,0,0.00128536,8.46742e-11,0.00197276,2.24856e-08,937
dj_08_ng0_ng3,1483,30,true,true,true,8,8,63,61,0,0.00114209,3.87107e-11,0.00135408,1.54091e-08,30
dj_08_ng3_mp0,1197,30,true,true,true,8,8,61,117,0,0.00129754,9.76789e-11,0.00203952,1.73223e-08,110
dj_08_ng3_mp3,1139,30,false,true,true,16,16,61,84,0,0.00128807,7.46944e-11,0.00199991,2.19748e-08,937
dj_16_ind_mp0,311,30,false,true,true,31,31,46,296,0,0.00143252,1.59279e-10,0.0101335,3.03709e-07,1054
dj_16_ind_mp3,34,30,false,true,true,33,33,46,200,0,0.00140302,1.47614e-10,0.132712,1.13988e-05,230160
dj_16_ind_ng0,1260,30,true,true,true,16,16,46,125,0,0.00115967,3.68779e-10,0.00182582,2.72968e-08,62
dj_16_ind_ng3,1023,30,true,true,true,16,16,46,131,0,0.0011648,3.2071e-11,0.00274493,2.72763e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,108,30,false,true,true,31,31,125,296,0,0.0021224,2.22313e-06,0.0426137,3.79716e-06,1086
