name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,796,30,true,true,true,4,4,10,41,0,0.00124123,3.58323e-10,0.000868956,7.4289e-08,26
dj_04_ind_mp3,846,30,false,true,true,8,8,10,36,0,0.00124117,1.80475e-10,0.00103574,4.47976e-08,54
dj_04_ind_ng0,1907,30,true,true,true,4,4,10,29,0,0.00113862,7.61454e-10,0.000784774,4.40839e-08,14
dj_04_ind_ng3,1573,30,true,true,true,4,4,10,35,0,0.00114677,2.46353e-09,0.000857607,1.2075e-07,14
dj_04_mp0_mp3,1412,30,false,true,true,8,8,41,36,0,0.0014251,1.37805e-08,0.00172063,1.76909e-07,276
dj_04_ng0_mp0,1433,30,true,true,true,4,4,29,41,0,0.00129013,8.91887e-09,0.00114273,9.75656e-08,26
dj_04_ng0_mp3,1551,30,false,true,true,8,8,29,36,0,0.00127151,5.76974e-09,0.00126451,8.40834e-08,55
dj_04_ng0_ng3,1681,30,true,true,true,4,4,29,35,0,0.0011532,3.42307e-09,0.000860575,6.64065e-08,14
dj_04_ng3_mp0,1675,30,true,true,true,4,4,35,41,0,0.00127312,6.23508e-09,0.00113736,2.05578e-07,30
dj_04_ng3_mp3,1446,30,false,true,true,8,8,35,36,0,0.00126447,2.94626e-09,0.00126118,9.79881e-08,55
dj_08_ind_mp0,1431,30,true,true,true,8,8,22,117,0,0.00128985,1.19848e-09,0.00166993,6.88524e-08,106
dj_08_ind_mp3,997,30,false,true,true,16,16,22,84,0,0.00131461,1.00477e-08,0.00233127,3.554e-07,936
dj_08_ind_ng0,1620,30,true,true,true,8,8,22,63,0,0.00117017,4.39139e-09,0.00133845,1.67643e-07,28
dj_08_ind_ng3,1631,30,true,true,true,8,8,22,61,0,0.00115047,7.88075e-10,0.00120447,3.84892e-08,30
dj_08_mp0_mp3,130,30,false,true,true,16,16,117,84,0,0.0014601,9.09404e-09,0.0413583,2.03152e-05,67784
dj_08_ng0_mp0,995,30,true,true,true,8,8,63,117,0,0.00130849,6.47853e-09,0.00186385,2.73592e-07,106
dj_08_ng0_mp3,725,30,false,true,true,16,16,63,84,0,0.00131412,9.33829e-09,0.00238431,4.06083e-07,937
dj_08_ng0_ng3,1529,30,true,true,true,8,8,63,61,0,0.0011655,2.53199e-09,0.001542,2.4334e-07,30
