name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,623,30,true,true,true,4,4,10,41,0,0.000598672,3.48686e-10,0.000835606,1.323e-07,26
dj_04_ind_mp3,555,30,false,true,true,7,7,10,36,0,0.000642118,4.33259e-10,0.00101837,1.0329e-07,51
dj_04_ind_ng0,2867,30,true,true,true,4,4,10,29,0,0.000474768,5.76171e-10,0.00069727,3.0282e-09,14
dj_04_ind_ng3,2563,30,true,true,true,4,4,10,35,0,0.000474124,2.93653e-10,0.000724057,3.22996e-09,14
dj_04_mp0_mp3,2027,30,false,true,true,7,7,41,36,0,0.000758002,4.4213e-10,0.00117438,6.21248e-09,57
dj_04_ng0_mp0,2451,30,true,true,true,4,4,29,41,0,0.000601897,3.77992e-10,0.000833896,2.83176e-09,26
dj_04_ng0_mp3,2311,30,false,true,true,7,7,29,36,0,0.0006417,3.40529e-10,0.00105917,4.07244e-09,51
dj_04_ng0_ng3,2776,30,true,true,true,4,4,29,35,0,0.000476068,2.50487e-10,0.000768717,2.78245e-09,14
dj_04_ng3_mp0,991,30,true,true,true,4,4,35,41,0,0.000603317,3.46073e-10,0.000948625,1.60856e-08,30
dj_04_ng3_mp3,2290,30,false,true,true,7,7,35,36,0,0.000643459,3.54909e-10,0.001093,3.80619e-09,51
dj_08_ind_mp0,1581,30,true,true,true,8,8,22,117,0,0.000679467,7.08897e-10,0.001896,8.68951e-09,106
dj_08_ind_mp3,1553,30,false,true,true,15,15,22,84,0,0.000703727,4.55444e-10,0.00231471,8.58979e-09,937
dj_08_ind_ng0,2510,30,true,true,true,8,8,22,63,0,0.000496958,3.34491e-10,0.0011214,5.2857e-09,28
dj_08_ind_ng3,2156,30,true,true,true,8,8,22,61,0,0.000497297,2.90192e-10,0.00133669,5.35147e-09,30
dj_08_mp0_mp3,1005,30,false,true,true,15,15,117,84,0,0.00086947,5.39154e-10,0.00375821,9.05307e-09,983
dj_08_ng0_mp0,1583,30,true,true,true,8,8,63,117,0,0.000682919,4.30343e-10,0.00206266,6.15378e-09,106
dj_08_ng0_mp3,1421,30,false,true,true,15,15,63,84,0,0.000711769,5.35441e-10,0.00260893,8.68197e-09,937
dj_08_ng0_ng3,1993,30,true,true,true,8,8,63,61,0,0.000503948,4.63927e-10,0.00157184,1.07502e-07,30
dj_08_ng3_mp0,1310,30,true,true,true,8,8,61,117,0,0.000689195,4.76241e-09,0.00267761,2.04928e-08,110
dj_08_ng3_mp3,1339,30,false,true,true,15,15,61,84,0,0.000711808,6.72183e-09,0.00283135,3.42197e-08,937
dj_16_ind_mp0,212,30,false,true,true,31,31,46,296,0,0.000885274,5.01768e-10,0.0155596,5.77993e-07,1054
dj_16_ind_mp3,24,30,false,true,true,32,32,46,200,0,0.000846521,5.24881e-10,0.190799,1.44687e-05,242449
dj_16_ind_ng0,425,30,true,true,true,16,16,46,125,0,0.000562001,1.45659e-08,0.0023973,2.2734e-07,62
dj_16_ind_ng3,966,30,true,true,true,16,16,46,131,0,0.000569088,2.07433e-08,0.00407913,4.40452e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,67,30,false,true,true,31,31,125,296,0,0.00132127,1.49142e-06,0.0759972,4.91081e-06,1086
dj_16_ng0_mp3,10,30,false,true,true,32,32,125,200,0,0.00126234,1.45293e-06,0.445678,2.51544e-05,242449
dj_16_ng0_ng3,239,30,true,true,true,16,16,125,131,0,0.000592833,4.26308e-10,0.00993659,3.59783e-06,62
dj_16_ng3_mp0,73,30,false,true,true,31,31,131,296,0,0.00129688,1.42706e-06,0.0850031,1.7646e-05,1038
dj_16_ng3_mp3,10,30,false,true,true,32,32,131,200,0,0.00206989,3.33457e-06,0.46236,1.56148e-05,242449
portfolioqaoa_04_ind_mp0,235,30,false,true,true,4,4,34,189,0,0.000788263,1.01041e-09,0.0144827,1.37746e-06,170
portfolioqaoa_04_ind_mp3,450,30,false,true,true,8,8,34,143,0,0.000788225,3.6074e-08,0.0116324,3.27402e-06,1790
portfolioqaoa_04_ind_ng0,354,30,false,true,true,4,4,34,138,0,0.000568319,5.42958e-10,0.0124519,2.98635e-06,170
portfolioqaoa_04_ind_ng3,476,30,false,true,true,4,4,34,123,0,0.000561488,4.08959e-10,0.0116458,3.7578e-06,170
portfolioqaoa_04_mp0_mp3,236,30,false,true,true,8,8,189,143,0,0.0010139,6.82258e-08,0.0218502,1.59657e-06,1790
portfolioqaoa_04_ng0_mp0,223,30,false,true,true,4,4,138,189,0,0.000804578,8.79391e-10,0.021466,2.26394e-06,170
portfolioqaoa_04_ng0_mp3,231,30,false,true,true,8,8,138,143,0,0.000800869,1.34283e-09,0.0191685,4.16154e-06,1790
portfolioqaoa_04_ng0_ng3,239,30,false,true,true,4,4,138,123,0,0.000587275,4.15444e-10,0.0183414,4.45574e-06,170
portfolioqaoa_04_ng3_mp0,227,30,false,true,true,4,4,123,189,0,0.000808165,1.27638e-09,0.0204002,2.77599e-06,170
portfolioqaoa_04_ng3_mp3,279,30,false,true,true,8,8,123,143,0,0.000792879,5.169e-10,0.0187269,3.78216e-06,1790
