name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,627,30,true,true,true,4,4,10,41,0,0.000589071,2.43033e-10,0.000822571,1.33349e-07,26
dj_04_ind_mp3,581,30,false,true,true,7,7,10,36,0,0.000632338,3.82994e-10,0.000994058,8.93263e-08,51
dj_04_ind_ng0,3014,30,true,true,true,4,4,10,29,0,0.000466727,3.24954e-10,0.000666079,2.26406e-09,14
dj_04_ind_ng3,2870,30,true,true,true,4,4,10,35,0,0.000465731,2.98436e-10,0.000686464,2.28316e-09,14
dj_04_mp0_mp3,2053,30,false,true,true,7,7,41,36,0,0.000744448,3.40519e-10,0.0011459,3.58145e-09,57
dj_04_ng0_mp0,2532,30,true,true,true,4,4,29,41,0,0.000589743,3.41253e-10,0.000815613,2.24464e-09,26
dj_04_ng0_mp3,2300,30,false,true,true,7,7,29,36,0,0.000663753,1.45954e-09,0.00102839,3.01058e-09,51
dj_04_ng0_ng3,2778,30,true,true,true,4,4,29,35,0,0.000510822,1.64197e-09,0.000751551,2.3231e-09,14
dj_04_ng3_mp0,1003,30,true,true,true,4,4,35,41,0,0.000633286,1.09578e-09,0.000922999,1.34848e-08,30
dj_04_ng3_mp3,2305,30,false,true,true,7,7,35,36,0,0.000661728,1.21794e-09,0.00107746,2.88907e-09,51
dj_08_ind_mp0,1545,30,true,true,true,8,8,22,117,0,0.000696018,1.56322e-09,0.00185045,3.47161e-09,106
dj_08_ind_mp3,1457,30,false,true,true,15,15,22,84,0,0.000715814,1.66505e-09,0.00228383,7.37304e-09,937
dj_08_ind_ng0,2355,30,true,true,true,8,8,22,63,0,0.000526048,1.57496e-09,0.00108894,3.27658e-09,28
dj_08_ind_ng3,2151,30,true,true,true,8,8,22,61,0,0.000519753,1.16654e-09,0.00130755,2.5986e-09,30
dj_08_mp0_mp3,1031,30,false,true,true,15,15,117,84,0,0.000875527,9.65419e-10,0.00371404,1.45614e-08,983
dj_08_ng0_mp0,1599,30,true,true,true,8,8,63,117,0,0.000688816,1.21069e-09,0.00203874,4.14439e-09,106
dj_08_ng0_mp3,1436,30,false,true,true,15,15,63,84,0,0.000723336,1.43454e-09,0.00256727,7.5658e-09,937
dj_08_ng0_ng3,1818,30,true,true,true,8,8,63,61,0,0.000520372,1.50755e-09,0.00154764,2.95556e-09,30
dj_08_ng3_mp0,1310,30,true,true,true,8,8,61,117,0,0.000692855,1.03442e-09,0.00265834,4.11277e-09,110
dj_08_ng3_mp3,1344,30,false,true,true,15,15,61,84,0,0.000713816,1.186e-09,0.00279824,4.98503e-09,937
dj_16_ind_mp0,209,30,false,true,true,31,31,46,296,0,0.000884496,1.17878e-09,0.0157218,4.27711e-07,1054
dj_16_ind_mp3,25,30,false,true,true,32,32,46,200,0,0.000848563,1.13684e-09,0.192257,6.21421e-06,242449
dj_16_ind_ng0,429,30,true,true,true,16,16,46,125,0,0.000563454,1.62628e-09,0.00235883,2.18812e-07,62
dj_16_ind_ng3,960,30,true,true,true,16,16,46,131,0,0.000570586,1.06883e-09,0.0040627,8.01953e-09,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,64,30,false,true,true,31,31,125,296,0,0.00171361,2.59382e-06,0.0770689,4.01063e-06,1086
dj_16_ng0_mp3,10,30,false,true,true,32,32,125,200,0,0.000875549,1.74689e-09,0.461551,3.81539e-05,242449
dj_16_ng0_ng3,290,30,true,true,true,16,16,125,131,0,0.000600605,5.55775e-08,0.00984144,3.09536e-06,62
dj_16_ng3_mp0,77,30,false,true,true,31,31,131,296,0,0.00125921,1.32534e-06,0.0839398,1.49396e-05,1038
dj_16_ng3_mp3,10,30,false,true,true,32,32,131,200,0,0.00166536,2.55282e-06,0.461201,1.81538e-05,242449
