name,runCount,timeOut,equivalent,deterministic,finished,numQubits1,numQubits2,numGates1,numGates2,diffEquivalenceCount,initTimeMean,initTimeVariance,runTimeMean,runTimeVariance,maxActiveNodes
dj_04_ind_mp0,612,30,true,true,true,4,4,10,41,0,0.000583839,4.61239e-10,0.000852982,2.31535e-07,26
dj_04_ind_mp3,530,30,false,true,true,7,7,10,36,0,0.000627782,5.62457e-10,0.000994121,1.10262e-07,51
dj_04_ind_ng0,2285,30,true,true,true,4,4,10,29,0,0.000463656,2.26403e-10,0.000715763,3.20125e-09,14
dj_04_ind_ng3,2534,30,true,true,true,4,4,10,35,0,0.000463692,2.03327e-10,0.000731141,2.0471e-09,14
dj_04_mp0_mp3,2091,30,false,true,true,7,7,41,36,0,0.000742521,3.91271e-10,0.00113665,4.34533e-09,57
dj_04_ng0_mp0,2613,30,true,true,true,4,4,29,41,0,0.000593101,1.18887e-09,0.000928186,5.94306e-08,26
dj_04_ng0_mp3,1645,30,false,true,true,7,7,29,36,0,0.000645843,1.38418e-08,0.00135804,9.48762e-08,51
dj_04_ng0_ng3,2053,30,true,true,true,4,4,29,35,0,0.000467512,3.61671e-10,0.00102847,5.49229e-09,14
dj_04_ng3_mp0,909,30,true,true,true,4,4,35,41,0,0.000598932,5.17172e-10,0.00119479,2.18648e-08,30
dj_04_ng3_mp3,1920,30,false,true,true,7,7,35,36,0,0.000641678,5.31184e-10,0.00144078,5.16207e-09,51
dj_08_ind_mp0,962,30,true,true,true,8,8,22,117,0,0.000665598,6.85452e-10,0.00227795,1.34074e-08,106
dj_08_ind_mp3,1323,30,false,true,true,15,15,22,84,0,0.000697871,2.30461e-09,0.00278298,3.91392e-08,937
dj_08_ind_ng0,1582,30,true,true,true,8,8,22,63,0,0.000486574,7.59644e-10,0.00149566,8.8188e-09,28
dj_08_ind_ng3,1626,30,true,true,true,8,8,22,61,0,0.000487443,4.73248e-10,0.00171009,6.575e-09,30
dj_08_mp0_mp3,909,30,false,true,true,15,15,117,84,0,0.000860391,6.85748e-10,0.00424019,1.34167e-08,983
dj_08_ng0_mp0,928,30,true,true,true,8,8,63,117,0,0.000674258,5.5657e-10,0.00245712,1.44129e-08,106
dj_08_ng0_mp3,1069,30,false,true,true,15,15,63,84,0,0.000693998,1.17624e-09,0.00304875,2.19776e-08,937
dj_08_ng0_ng3,1423,30,true,true,true,8,8,63,61,0,0.000493463,4.51933e-10,0.00195284,9.13589e-09,30
dj_08_ng3_mp0,673,30,true,true,true,8,8,61,117,0,0.000679968,7.95018e-10,0.00309921,2.78252e-08,110
dj_08_ng3_mp3,899,30,false,true,true,15,15,61,84,0,0.000697979,1.07996e-09,0.00330138,5.15951e-08,937
dj_16_ind_mp0,170,30,false,true,true,31,31,46,296,0,0.00089448,2.76014e-09,0.0169719,1.20019e-06,1054
dj_16_ind_mp3,24,30,false,true,true,32,32,46,200,0,0.000879769,1.541e-08,0.199275,4.09539e-06,242449
dj_16_ind_ng0,418,30,true,true,true,16,16,46,125,0,0.000542985,5.61875e-10,0.00270438,2.43239e-07,62
dj_16_ind_ng3,647,30,true,true,true,16,16,46,131,0,0.000557909,1.02097e-09,0.00448104,5.9773e-08,62
dj_16_mp0_mp3,1,30,false,true,false,127,127,312,216,0,30,0,30,0,0
dj_16_ng0_mp0,130,30,false,true,true,31,31,125,296,0,0.000888251,4.53349e-09,0.0371844,5.15718e-07,1086
dj_16_ng0_mp3,21,30,false,true,true,32,32,125,200,0,0.000883546,1.54989e-08,0.222548,1.47514e-05,242449
dj_16_ng0_ng3,527,30,true,true,true,16,16,125,131,0,0.000582599,6.13785e-10,0.00452602,2.87289e-07,62
dj_16_ng3_mp0,133,30,false,true,true,31,31,131,296,0,0.000899051,5.35921e-09,0.0408275,6.65648e-07,1038
dj_16_ng3_mp3,21,30,false,true,true,32,32,131,200,0,0.000896741,1.99409e-08,0.227398,6.99771e-06,242449
portfolioqaoa_04_ind_mp0,323,30,false,true,true,4,4,34,189,0,0.000762931,3.62897e-09,0.00712111,7.12823e-07,170
portfolioqaoa_04_ind_mp3,407,30,false,true,true,8,8,34,143,0,0.000776843,1.12863e-09,0.00542588,1.29619e-07,1790
portfolioqaoa_04_ind_ng0,510,30,false,true,true,4,4,34,138,0,0.000553541,2.89696e-10,0.00595409,2.92797e-08,170
portfolioqaoa_04_ind_ng3,446,30,false,true,true,4,4,34,123,0,0.000545851,3.80653e-10,0.0055425,6.64835e-08,170
portfolioqaoa_04_mp0_mp3,403,30,false,true,true,8,8,189,143,0,0.000986764,1.5673e-09,0.0102346,2.65687e-08,1790
